PROVIDER_BUSINESS_GROUP_NBR,PRODUCT_CD,SERVICE_GROUP_CD,SERVICE_TYPE_CD,PLACE_OF_SERVICE_CD,SCORE
13690412,MEPO,DEFAULTOUT,CPT4,22,1
220437946,MC,DEFAULTSVC1,CPT4,22,1
426925662,MPPO,DEFAULTSVC1,HCPC,22,1
537005226,MEPO,DEFAULTSVC1,CPT4,22,1
574996395,MPPO,DEFAULTOUT,HCPC,22,1
146713198,MHMO,DEFAULTOUT,CPT4,22,1
937976396,MHMO,DEFAULTALL,ASA,22,1
133458072,MC,DEFAULTSVC1,CPT4,22,1
763599381,MC,DEFAULTSVC1,CPT4,22,1
155263569,MPPO,DEFAULTOUT2,CPT4,22,1
145843842,MPPO,DEFAULTSVC1,CPT4,22,1
754765830,MC,DEFAULTOUT,HCPC,22,1
685375900,MPPO,DEFAULTALL,HCPC,22,1
782568754,MPPO,DEFAULTSVC1,CPT4,22,1
632126327,MC,DEFAULTOUT,CPT4,22,1
642483283,MPPO,DEFAULTSVC1,ASA,22,1
23570217,MC,DEFAULTOUT,CPT4,22,1
668546405,MPPO,DEFAULTSVC1,CPT4,22,1
274352307,MPPO,DEFAULTALL,CPT4,22,1
344756291,MHMO,DEFAULTSVC1,CPT4,22,1
639881766,MC,DEFAULTSVC1,ASA,22,1
267847562,MEPO,DEFAULTALL,CPT4,22,1
541754055,MPPO,DEFAULTSVC1,CPT4,22,1
460127323,MPPO,DEFAULTSVC1,CPT4,22,1
851595706,MPPO,DEFAULTSVC1,ASA,22,1
541660637,MC,DEFAULTALL,CPT4,22,1
782641761,MC,DEFAULTALL,CPT4,22,1
92761441,MPPO,DEFAULTALL,REV,22,1
213172801,MC,DEFAULTSVC1,CPT4,22,1
758263590,MPPO,DEFAULTOUT,HCPC,22,1
827905180,MPPO,DEFAULTSVC1,HCPC,22,1
603029050,MC,DEFAULTSVC1,HCPC,22,1
192254777,MPPO,DEFAULTOUT2,CPT4,22,1
432935639,MHMO,DEFAULTOUT,HCPC,22,1
813263499,MEPO,DEFAULTALL,CPT4,22,1
589517449,MHMO,DEFAULTOUT,CPT4,22,1
359921191,MPPO,DEFAULTSVC1,CPT4,22,1
621717113,MPPO,DEFAULTSUR,CPT4,24,300
674976045,ALL,DEFAULTALL,CPT4,24,1
562596389,ALL,DEFAULTALL,CPT4,24,1
464301745,ALL,DEFAULTALL,CPT4,24,1
122635939,ALL,DEFAULTSVC1,CPT4,24,1
960915817,ALL,DEFAULTOUT,HCPC,24,1
565734899,MPPO,DEFAULTALL,CPT4,24,1
244965559,MPPO,DEFAULTSVC1,CPT4,24,1
637911501,MHMO,DEFAULTSVC1,HCPC,24,1
316624551,MEPOS,0085T,CPT4,81,1
859038022,MEPOS,80047,CPT4,81,1
37245811,POS,80048,CPT4,81,1
983590442,MHMO,80047,CPT4,81,1
894397936,MHMO,80047,CPT4,81,1
413953261,MWC,80047,CPT4,81,1
761796612,ALL,DEFAULTALL,CPT4,81,1
752088812,ALL,DEFAULTSVC,CPT4,81,1
33791397,MPPO,DEFAULTSVC1,CPT4,81,1
62857841,MPPO,DEFAULTALL,CPT4,81,1
858343167,MPPO,DEFAULTALL,CPT4,81,1
